bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-79.7741350215,44.991358,-57.1054864,62.580486298",uuuu,85633041,,77fa7c85bc505269d63534e00751ec84,,d4f57237d6197b3b91dc713332baf1d4,53.30215,-71.647642,136251273,uuuu,CA,CA,1462977481,52.03334,-72.765013,0,Quebec,85633041,136/251/273/136251273.geojson,region,136251273,quattroshapes,,,CA
"16.263079385,42.55653,19.621935,45.276582",uuuu,85632609,,9e9217fc7a2a18c9d8e6827d867f3e57,,96661203aff255ad02295b0d0387aa07,44.241874,18.086192,85632267,uuuu,BA,BA,1452290881,44.016198,18.984404,0,Rep. Srpska,85632609,856/322/67/85632267.geojson,region,85632267,quattroshapes,,,BA
"72.09122467,8.262916565,73.702079773,11.702083588",uuuu,85632469,,20c1e2c366d8711b12c9b4c24de84587,,e6d6225088115a4605c64295f078439f,10.602908,72.764567,85632275,uuuu,XX,XX,1452290884,8.26821,73.045873,0,Lakshadweep,85632469,856/322/75/85632275.geojson,region,85632275,quattroshapes,,,XX
"18.74803829,44.7447954971,18.9756413357,44.892232685",uuuu,85632609,,155b077e8e1a231a351a3c504d90ac38,,eb44d7515fad206faf04f1ea5f831c83,44.813362,18.838346,85632279,uuuu,BA,BA,1452290880,44.812474,18.846104,0,Brcko Distrikt,85632609,856/322/79/85632279.geojson,region,85632279,quattroshapes,,,BA
"46.5225559117,5.99694184584,51.415416718,11.986110687",uuuu,85632379,,bb90946257793f4fff97bc0e89dc6846,,2dfa10291b16bd9ebba4ea1225442554,8.862698,49.289132,85632539,uuuu,XX,XX,1452291124,8.882328,49.529133,0,Puntland,85632379,856/325/39/85632539.geojson,region,85632539,quattroshapes,,,XX
"92.719497681,6.752916813,93.962890625,9.254638672",uuuu,85632469,,e0a771f3b4b9ddb7217981a02529d8c2,,cd0a22615c023409ba7007406c6e0502,7.52281,93.609701,85632555,uuuu,XX,XX,1452291130,7.032905,93.81781,0,Nicobar Is.,85632469,856/325/55/85632555.geojson,region,85632555,quattroshapes,,,XX
"108.610389709,18.160388947,111.275390625,20.164583206",uuuu,85632695,,c7b473987b093e7a3c5e50cc452026e1,,bb74840162da5629d4b3a18a96efe7e9,19.198016,109.744123,85632557,uuuu,CN,CN,1452291135,19.177863,109.762036,0,Hainan,85632695,856/325/57/85632557.geojson,region,85632557,quattroshapes,,,CN
"-63.154640198,18.046288191,-62.971248627,18.126277924",uuuu,85633147,,83efe04404a2b2ea2b2fe1588b8a372a,,920174452b089daac204fa5a9ad3428b,18.080245,-63.061627,85632737,uuuu,MF,MF,1452290988,18.082858,-63.059398,0,Saint Martin,85633147,856/327/37/85632737.geojson,region,85632737,quattroshapes,,,MF
"-70.0624080067,12.4176699889,-69.8768204415,12.6321475284",uuuu,85632295,,5a34435ffeff79ee770fba4d83b706dd,,ef3ba536c88ad5dad25d5dc6b9072d5f,12.516935,-69.974201,85667489,uuuu,AW,AW,1452291427,12.517399,-69.972795,0,Aruba,85632295,856/674/89/85667489.geojson,region,85667489,quattroshapes,,,AW
"62.6517627296,34.5093667669,65.0473271021,36.0317323447",uuuu,85632229,,03be55c01564594359b1b9750d0c1494,,1340182d5e5b17a837d996171a508794,35.145819,63.738203,85667493,uuuu,AF,AF,1457144581,35.097324,63.657031,0,Badghis,85632229,856/674/93/85667493.geojson,region,85667493,quattroshapes,,,AF
"60.4867777911,32.782056179,64.4825036966,35.6309011839",uuuu,85632229,,f4e14c7665bf4572f42f43d42c11ee86,,358c6ff62a9b0ae9cc12484eda346893,34.189676,62.127844,85667497,uuuu,AF,AF,1457144581,34.34941,61.961465,0,Hirat,85632229,856/674/97/85667497.geojson,region,85667497,quattroshapes,,,AF
"66.3306079454,33.9379287794,68.282685174,35.4696182323",uuuu,85632229,,695d7333678b0fc6180d344519df2334,,b95354474f7fbfd72569f92ebb05454e,34.803255,67.237533,85667503,uuuu,AF,AF,1457144581,35.039494,67.332625,0,Bamyan,85632229,856/675/03/85667503.geojson,region,85667503,quattroshapes,,,AF
