,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
5647,"29.018604,40.983963,29.037832,41.001503",uuuu,85632393.0,,c7331e8e85ccb76094dad8f050853bf1,,13809d49e88cc418c13a38f97f1a633c,40.993559,29.028759,102535817.0,uuuu,,,1452296690.0,40.993504,29.030215,101912677.0,Istanbul Sabiha Gokcen Airport,85904115.0,102/535/817/102535817.geojson,campus,85679237.0,woedb,,,
5648,"28.804714,40.964443,28.83305,40.993309",uuuu,85632393.0,,044024988d06f0439f38d1482eb1189d,,e03dd124e8f8f7ebf64813c56332cda7,40.981488,28.819079,102535819.0,uuuu,,,1452296689.0,40.981491,28.818113,0.0,Ataturk Hava Limani Airport,85679237.0,102/535/819/102535819.geojson,campus,85679237.0,woedb,,,
5649,"27.0138,39.5546,27.0138,39.5546",uuuu,85632393.0,,7925c5b079d9f191f43ae1077100b563,,8ce6fd6dddcd3ebc98933a6f9a629885,39.5546,27.0138,102535823.0,uuuu,,,1452296691.0,0.0,0.0,0.0,Edremit-Korfez Airport,85679205.0,102/535/823/102535823.geojson,campus,85679205.0,ourairports,,,
5650,"0.0,0.0,0.0,0.0",uuuu,85632393.0,,10aa71c5df45b18c4c9aa4ec5c9a6961,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102535825.0,uuuu,,,1452296688.0,0.0,0.0,0.0,Tokat Airport,85679363.0,102/535/825/102535825.geojson,campus,85679363.0,missing,,,
5651,"41.840401,37.978901,41.840401,37.978901",uuuu,85632393.0,,2d363c6a5d2c283a27c44ee3bb737258,,1fc250470ca3952fe0fc02ef382f9ab3,37.978901,41.840401,102535827.0,uuuu,,,1452296689.0,0.0,0.0,0.0,Siirt Airport,85679489.0,102/535/827/102535827.geojson,campus,85679489.0,ourairports,,,
5652,"36.953522,37.538826,36.953522,37.538826",uuuu,85632393.0,,4d62798bb1f7b1debedd6d854f052d10,,c9f4c8ac072be01480cc23005b8759a7,37.538826,36.953522,102535829.0,uuuu,,,1452296690.0,0.0,0.0,101911231.0,Kahramanmaras Airport,101911231.0,102/535/829/102535829.geojson,campus,85679303.0,ourairports,,,
5653,"39.692402,41.001408,39.705105,41.007366",uuuu,85632393.0,,e2d382b276a176b0e4a5dbc597c6f7fa,,941e7abe9d45f1893b1a511aa55b3b76,41.004641,39.699384,102535831.0,uuuu,,,1452296689.0,41.004455,39.698326,101912783.0,Trabzon Air Base,101912783.0,102/535/831/102535831.geojson,campus,85679383.0,woedb,,,
5654,"36.30518,41.278645,36.30518,41.278645",uuuu,85632393.0,,cbcd5fa97ef345546d4d3b7e26cb0390,,3ee47031c59d9c71a0b3245028c633ab,41.278645,36.30518,102535833.0,uuuu,,,1452296688.0,0.0,0.0,101911033.0,Samsun Airport,101911033.0,102/535/833/102535833.geojson,campus,85679357.0,ourairports,,,
5655,"27.669701,37.140099,27.669701,37.140099",uuuu,85632393.0,,9eb2ac90181354879cbf49bcd1e5ece8,,0f9f81ec030341fa548e006930c61112,37.140099,27.669701,102535835.0,uuuu,,,1452296688.0,0.0,0.0,0.0,Imsik Airport,85679291.0,102/535/835/102535835.geojson,campus,85679291.0,ourairports,,,
5656,"0.0,0.0,0.0,0.0",uuuu,85632393.0,,ce85cf13074f0680f0ab13862a485299,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102535837.0,uuuu,,,1452296688.0,0.0,0.0,101912777.0,Diyarbakir Airport,101912777.0,102/535/837/102535837.geojson,campus,85679395.0,missing,,,
