,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
0,60000,139.731286,35.724086,４丁目,1185009,,28527530.0,,Suburb,,東京都,,23424856.0,日本,29.0,29.0,6.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
1,60001,139.633797,35.625562,１丁目,1185085,,28528550.0,,Suburb,,東京都,,23424856.0,日本,96.0,96.0,19.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
2,60002,139.625717,35.654411,５丁目,1185097,,28528617.0,,Suburb,,東京都,,23424856.0,日本,188.0,188.0,38.0,1.0,4,4,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
3,60003,139.656127,35.646756,４丁目,1185098,,28528644.0,,Suburb,,東京都,,23424856.0,日本,89.0,89.0,18.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
4,60004,139.717029,35.65176,２丁目,1185119,,28528698.0,,Suburb,,東京都,,23424856.0,日本,47.0,47.0,10.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
5,60005,139.6901405,35.5317905,２丁目,1185143,,28533208.0,,Suburb,,神奈川県,,23424856.0,日本,46.0,46.0,9.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
6,60006,139.6385725,35.5641295,３丁目,1185144,,28533212.0,,Suburb,,神奈川県,,23424856.0,日本,78.0,78.0,16.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Tama and Friends,859
7,60007,139.641509,35.581104,４丁目,1185145,,28533216.0,,Suburb,,神奈川県,,23424856.0,日本,75.0,75.0,15.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
8,60008,139.6875,35.269328,２丁目,1185146,,28533822.0,,Suburb,,神奈川県,JP,23424856.0,日本,45.0,45.0,9.0,1.0,2,2,0,JP,4.0,neighbourhood,import,,,,Pippu Station,64
9,60009,139.678115,35.2712,２丁目,1185147,,28533834.0,,Suburb,,神奈川県,,23424856.0,日本,26.0,26.0,5.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
10,60010,135.514984,34.692226,３丁目,1185176,,28559473.0,,Suburb,,大阪府,,23424856.0,日本,79.0,79.0,16.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Tama and Friends,859
11,60011,136.891279,35.159564,５丁目,1185179,,28546695.0,,Suburb,,愛知県,,23424856.0,日本,133.0,133.0,27.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
12,60012,135.524179,34.682558,１丁目,1185190,,28559655.0,,Suburb,,大阪府,,23424856.0,日本,139.0,139.0,28.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
13,60013,135.501096,34.684461,３丁目,1185191,,28559550.0,,Suburb,,大阪府,,23424856.0,日本,111.0,111.0,22.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Tama and Friends,859
14,60014,135.499877,34.689262,４丁目,1185192,,28559652.0,,Suburb,,大阪府,,23424856.0,日本,57.0,57.0,12.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
15,60015,141.448116,42.8642665,恵庭市,238706,,1117068.0,,Town,,北海道,,23424856.0,日本,120.0,606.0,24.0,3.0,3,5,0,JP,9.0,locality,import,,,,"Eniwa, Hokkaido",3969
16,60016,138.690032,35.165108,富士市,238707,,1117079.0,,Town,,静岡県,,23424856.0,日本,1653.0,2646.0,335.0,12.0,14,10,0,JP,9.0,locality,import,,,,"Fuji, Shizuoka",748
17,60017,139.478645,35.311273,藤沢市,238708,,1117087.0,,Town,,神奈川県,,23424856.0,日本,640.0,12097.0,130.0,54.0,8,17,0,JP,9.0,locality,import,,,,"Fujisawa, Kanagawa",1291
18,60018,139.884796,35.628214,浦安市,1186834,,1116236.0,,Town,,千葉県,,23424856.0,日本,421.0,30503.0,85.0,135.0,6,22,0,JP,9.0,locality,import,,,,Urayasu,838
19,60019,143.578777,44.160555,上湧別町,239124,,1117415.0,,Town,,北海道,,23424856.0,日本,279.0,279.0,57.0,1.0,5,4,0,JP,9.0,locality,import,,,,"Kamiyūbetsu, Hokkaido",108
20,60020,142.945175,43.720993,上川町,239125,,1117419.0,,Town,,北海道,,23424856.0,日本,1752.0,1752.0,355.0,8.0,14,8,0,JP,9.0,locality,import,,,,"Kamikawa, Hokkaido",519
21,60021,135.5216215,34.2411845,かつらぎ町,239126,,1117483.0,,Town,,和歌山県,,23424856.0,日本,132.0,132.0,27.0,1.0,3,3,0,JP,9.0,locality,import,,,,"Katsuragi, Wakayama",74
22,60022,134.412231,34.872553,上郡町,239134,,1117417.0,,Town,,兵庫県,,23424856.0,日本,61.0,66.0,12.0,1.0,2,2,0,JP,9.0,locality,import,,,,"Kamigōri, Hyōgo",55
23,60023,131.323833,31.375333,串間市,239135,,1117638.0,,Town,,宮崎県,,23424856.0,日本,187.0,189.0,38.0,1.0,4,4,0,JP,9.0,locality,import,,,,"Kushima, Miyazaki",132
24,60024,138.372459,35.708333,韮崎市,241085,,1117889.0,,Town,,山梨県,,23424856.0,日本,313.0,345.0,63.0,2.0,5,5,0,JP,9.0,locality,import,,,,"Nirasaki, Yamanashi",274
25,60025,140.815851,38.500222,色麻町,1308234,,1114382.0,,Town,,宮城県,,23424856.0,日本,2.0,2.0,1.0,1.0,1,1,0,JP,9.0,locality,import,,,,"Shikama, Miyagi",274
