,wk_page_id,wk_name,wiki_id
0,1146627,Natanz,Q124669
1,994413,Nathia Gali,Q6969974
2,2970745,Sha'ar HaGolan,Q731831
3,1484884,Madaba,Q1683958
4,162480,Baguio,Q1822
5,16261271,Kochkor,Q2349614
6,2123707,Korangi,Q6431410
7,1235383,Yotvata,Q634253
8,32444492,Qatraneh,Q6731617
9,914180,Stepanakert,Q129352
10,3729763,Lam Tsuen,Q1941539
11,11321202,Shomrat,Q2888762
12,592829,San Luis,Q225404
13,268059,Tsing Yi,Q1469595
14,2068011,Dingras,Q39429
15,541501,San Rafael,Q293268
16,6783033,Abovyan,Q31493
17,2069084,"Calasiao, Pangasinan",Q41855
18,17927642,Yizre'el,Q2917058
19,31079583,Al Haffah,Q4703937
20,8713478,Hanwella,Q5651423
21,7812526,Shadmot Dvora,Q2888594
22,249893,Shamir,Q421065
23,18108328,Mikhmoret,Q2920036
24,18655184,Naran,Q6965323
25,1660963,Amadiya,Q460736
26,41987344,Bolawatta,Q16886863
27,17117975,Goygol,Q1174971
28,1945982,"Villasis, Pangasinan",Q43157
29,2973619,Hadass,Q3510605
30,1293320,Hamad Town,Q2088687
31,15733469,HaBonim,Q5636364
32,44685235,Rambukkana,Q19604964
33,30520715,Siyambalanduwa Divisional Secretariat,Q7533335
34,3969882,Amman Governorate,Q472788
35,40681165,Kahnamu,Q5691058
36,46889825,2014–15 Lebanese Second Division,Q20311442
37,3101780,Gudauri,Q1553013
38,5696656,Migdal,Q1195510
39,323330,Ma'alot-Tarshiha,Q152385
40,4806260,Bunji,Q4997712
41,1293297,"Rifa and Southern Region, Bahrain",Q7333202
42,18260707,Lusarat,Q2371758
43,3267935,Pat Heung,Q7143550
44,30512861,Watagoda,Q7972974
45,33628104,Fasham,Q2633343
46,2211056,Tubod,Q424653
47,35015005,Maad a Sinig,Q3273653
48,17707434,Adanim,Q2919990
49,25008913,Zibashahr,Q80830
0,19235236,Bəyimli,Q5005724
1,56483,Tourette syndrome,Q191779
2,11558007,Somolu,Q280585
3,56657,Dodoma,Q3866
4,10117636,Mukhsin,Q3472084
5,20783015,Malindi Constituency,Q6743727
6,1348587,As-Saff,Q235662
7,38319632,Arzan Fud,Q3663393
8,30865712,Piranshahr,Q3015863
9,13104063,Fukai Station,Q5507572
10,18538129,Sha'ar HaAmakim,Q135484
11,748415,Kinneret,Q765546
12,18924514,Alunitdağ,Q4063078
13,31667859,Ramim,Q7289569
14,1274337,"Calauan, Laguna",Q69739
15,5169170,Bench Maji Zone,Q2895686
16,41550737,List of towns and villages in Egypt,Q17068074
17,1587029,Nzérékoré,Q1002799
18,18270158,Norabats,Q588901
19,43400127,Mawsata,Q20804591
20,27034494,Msambweni,Q1951532
21,18847316,Quşçu,Q6555029
22,25008907,Varzaneh,Q2613914
23,26856041,Zahlé,Q26569
24,32628240,Parjok,Q7137581
25,17018203,Bamburi,Q805977
26,12417771,Tall al Kabir,Q3983043
27,37914,Carmen,Q185968
28,483226,Omer,Q122351
29,15266488,"Sapir, Israel",Q2888933
30,743124,"Ramsar, Mazandaran",Q951051
31,993010,Gapan,Q55596
32,710842,Sumqayit,Q179833
33,18531270,Mishmar HaShiv'a,Q2920057
34,2197849,Ting Kau,Q7808116
35,46838916,Tuen Mun Rural Committee,Q20984011
36,2081339,Doka,Q1234991
37,323334,Ness Ziona,Q168162
38,35518954,Tafo,Q7674984
39,10748330,Lệ Thủy District,Q153692
40,11706358,Altanbulag,Q1148033
41,2160709,"Linamon, Lanao del Norte",Q274230
42,5565223,Rosh HaNikra (kibbutz),Q2915530
43,864667,Egyptian pyramids,Q175582
44,23974632,Buwenge,Q5003228
45,3584658,F. D. Amr Bey,Q5423852
46,22106213,Kadino,Q6345533
47,4147779,Neft Daşları,Q1537647
0,5223237,Uruguayan Football Association,Q722749
1,12485020,Batticaloa District,Q810960
2,16333058,General Enrique Mosconi International Airport,Q3275909
3,17246039,Ifanadiana,Q1099548
4,21916557,Nyanga District,Q7070875
5,10183030,Fenoarivo Atsinanana,Q1404813
6,8868909,Entre-Deux,Q1014800
7,3625105,Charikar,Q944395
8,7533856,Battaramulla,Q4869689
9,19246967,Nkayi District,Q16462507
10,31344437,Mdjoyezi,Q6802853
11,766763,Trongsa,Q1019534
12,57658,Thimphu,Q9270
13,8471363,Trashigang,Q1149819
14,535557,Babeldaob,Q746861
15,2477457,Otavalo (city),Q1020794
16,23234423,Rushinga District,Q1708960
17,534431,Peleliu,Q497981
18,778915,Aimeliik,Q405589
19,30519925,Eravur Town Divisional Secretariat,Q5385073
20,8860614,Bras-Panon,Q691092
21,21419645,Shurugwi District,Q7505444
22,12667510,Palmira,Q409736
23,23234562,Shamva District,Q1756329
24,535304,Angaur,Q530813
25,44657213,El refugio,
26,2376763,Insiza (District),Q6038184
27,23254341,Chilaw,Q2495639
28,45026530,"Zaamin, Uzbekistan",Q891867
29,1218357,San Isidro,Q258396
