X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id
124.7,6.01667,Kiamba,265865,1708904,1199293,49906,Town,ADM3,Soccsksargen,PH,23424934,Philippines,64,64,13,1,2,2,7,PH,2,locality,import,
105.58333,12.33333,Srŏk Stœ̆ng Tráng,564258,1822030,,111987,,ADMD,,KH,,,,,,,0,0,9,KH,3,localadmin,import,
103.19822,13.10271,Bătdâmbâng,564349,1831797,,150444,,PPLA,,KH,,,,,,,0,0,9,KH,3,locality,import,
34.94236,32.68889,Atlit,265910,295613,1968155,4500,Town,PPL,Haifa,IL,23424852,Israel,69,69,14,1,2,2,4,IL,2,locality,import,
34.98019,29.71053,Be'er Ora,265911,295536,1968160,0,Town,PPL,Southern,IL,23424852,Israel,48,48,10,1,2,2,0,IL,2,locality,import,
34.53473,31.20303,Ze'elim,266120,293106,1968220,0,Town,PPL,Southern,IL,23424852,Israel,,1,,1,0,1,0,IL,2,locality,import,
-73.21547,4.37575,Paratebueno,266200,3769960,26797701,2027,Town,PPL,Cundinamarca,CO,23424787,Colombia,,3,,1,0,1,4,CO,2,locality,import,
16.41667,78.65,Pyramiden,575778,2729216,,5,,PPLQ,,SJ,,,,,,,0,0,1,SJ,,locality,import,
127.40583,39.65028,Sinsang-ni,569244,1932058,,14960,,PPL,,KP,,,,,,,0,0,6,KP,3,locality,import,
125.6375,-8.66778,Ritutu,569615,1943121,,5,,PPL,,TL,,,,,,,0,0,1,TL,3,locality,import,
126.82056,-8.60194,Gunung Dilarini,569619,1945349,,365,,PPL,,TL,,,,,,,0,0,2,TL,3,locality,import,
-68.73333,-31.55,Zonda,266383,3832080,466859,4038,Town,PPL,San Juan,AR,23424747,Argentina,,16,,1,0,1,4,AR,2,locality,import,
121.0328,14.6627,Bagong Pagasa,569679,1966336,,46365,,PPL,,PH,,,,,,,0,0,7,PH,3,locality,import,
121.0341,14.3388,Magsaysay,569685,1966068,,2569,,PPL,,PH,,,,,,,0,0,4,PH,3,locality,import,
121.2177,14.3449,Gulod,569686,1966167,,5764,,PPL,,PH,,,,,,,0,0,5,PH,3,locality,import,
124.72056,6.84722,Badak,569688,1966226,,6653,,PPL,,PH,,,,,,,0,0,5,PH,3,locality,import,
124.63083,11.15083,Lim-oo,569689,1966352,,2137,,PPL,,PH,,,,,,,0,0,4,PH,3,locality,import,
124.25278,7.73417,Lumbac,569690,1978540,,2448,,PPL,,PH,,,,,,,0,0,4,PH,3,locality,import,
124.475,7.16083,Malingao,569718,1978681,,1121974,,PPL,,PH,,,,,,,0,0,12,PH,3,locality,import,
-88.05444,13.19694,Intipucá,266431,3585480,78242,3540,Town,PPL,La Unión,SV,23424807,El Salvador,86,86,17,1,3,3,4,SV,2,locality,import,
-88.93333,13.71667,Cojutepeque,266434,3586977,77076,48411,Town,PPLA,Cuscatlán,SV,23424807,El Salvador,33,33,7,1,2,2,7,SV,2,locality,import,
-89.17028,13.72417,Delgado,266433,3586814,77206,71594,Town,PPL,San Salvador,SV,23424807,El Salvador,76,76,15,1,3,3,8,SV,2,locality,import,
