,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2
40000,101.43333,2.8,Kampong Kelanang,1164652,1768486.0,1144543.0,0.0,Town,PPL,Selangor,MY,23424901.0,Malaysia,,194.0,,1.0,0,4,0,MY,10.0,locality,import,,,
40001,100.73333,5.0,Pondok Tanjung,1164655,1734412.0,1152662.0,0.0,Town,PPL,Perak,MY,23424901.0,Malaysia,,130.0,,1.0,0,3,0,MY,10.0,locality,import,,,
40002,100.48231,6.0303,Tanah Merah,1164658,1751521.0,1155180.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40003,102.4191,2.4756,Batang Melaka,1165545,1734740.0,1140804.0,0.0,Town,PPL,Melaka,MY,23424901.0,Malaysia,,2.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40004,102.19932,6.04081,Kampong Alor,1165683,1764900.0,1141310.0,0.0,Town,PPL,Terengganu,MY,23424901.0,Malaysia,,12.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40005,101.48333,3.05,Kampong Padang Jawa,1166135,1766520.0,1146517.0,0.0,Town,PPL,Selangor,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40006,100.39547,5.97256,Kota Sarang Semut,1166433,6807198.0,1151789.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40007,100.47189,5.70264,Semiling,1166579,1745139.0,1153933.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,4.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40008,101.582817,3.20774,Sungai Buloh,1168246,,1155154.0,,Town,,Selangor,,23424901.0,Malaysia,106.0,106.0,21.0,1.0,3,3,0,MY,9.0,locality,import,,,
40009,100.7,4.81667,Simpang,1167108,1743587.0,1154020.0,0.0,Town,PPL,Perak,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40010,102.4714,2.4338,Nyalas,1167273,1734741.0,1154959.0,0.0,Town,PPL,Melaka,MY,23424901.0,Malaysia,,12.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40011,102.33327,5.89244,Selising,1167744,1735542.0,1155092.0,0.0,Town,PPL,Kelantan,MY,23424901.0,Malaysia,,4.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40012,101.150001,4.383299,Jeram,1167875,,1141237.0,,Town,,Perak,,23424901.0,Malaysia,6.0,6.0,1.0,1.0,1,1,0,MY,9.0,locality,import,,,
40013,102.9561,1.9203,Tongkang Pechah,1167894,1732682.0,1155238.0,0.0,Town,PPL,Johor,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40014,117.9973,5.8108,Kampong Bambangan,1167900,1734013.0,1141824.0,0.0,Town,PPL,Sabah,MY,23424901.0,Malaysia,166.0,166.0,34.0,1.0,4,4,0,MY,10.0,locality,import,,,
40015,100.28333,5.4,Kampong Chintek,1167910,1769752.0,1143279.0,0.0,Suburb,PPL,Pulau Pinang,MY,23424901.0,Malaysia,84.0,84.0,17.0,1.0,3,3,0,MY,10.0,neighbourhood,import,,,
40016,101.65,3.23333,Kampong Pinang Baik,1167919,1765436.0,1147601.0,0.0,Suburb,PPL,Kuala Lumpur,MY,23424901.0,Malaysia,30.0,30.0,6.0,1.0,2,2,0,MY,10.0,neighbourhood,import,,,
40017,100.37595,5.40068,Kampong Sungai Nyor,1167920,6823183.0,1149139.0,0.0,Suburb,PPLX,Pulau Pinang,MY,23424901.0,Malaysia,190.0,190.0,39.0,1.0,4,4,0,MY,10.0,neighbourhood,import,,,
40018,103.8135,1.5149,Kampong Sungai Tengkorak,1167921,1763758.0,1149282.0,0.0,Suburb,PPL,Johor,MY,23424901.0,Malaysia,177.0,177.0,36.0,1.0,4,4,0,MY,10.0,neighbourhood,import,,,
40019,100.27207,5.30455,Kampong Sungai Tiram,1167922,1763746.0,1149293.0,0.0,Suburb,PPL,Pulau Pinang,MY,23424901.0,Malaysia,184.0,184.0,37.0,1.0,4,4,0,MY,10.0,neighbourhood,import,,,
40020,100.28832,5.27783,Kampong Telok Tempoyak Kechil,1167925,1762960.0,1150086.0,0.0,Suburb,PPL,Pulau Pinang,MY,23424901.0,Malaysia,57.0,57.0,12.0,1.0,2,2,0,MY,10.0,neighbourhood,import,,,
40021,116.2187,6.0982,Kampong Ulu Telipok,1167926,1762291.0,1150753.0,0.0,Town,PPL,Sabah,MY,23424901.0,Malaysia,47.0,47.0,10.0,1.0,2,2,0,MY,10.0,locality,import,,,
40022,102.3197,4.0678,Kampung Kuala Tembeling,1167927,1733009.0,1151178.0,0.0,Town,PPL,Pahang,MY,23424901.0,Malaysia,60.0,60.0,12.0,1.0,2,2,0,MY,10.0,locality,import,,,
40023,100.310729,5.36737,Relau,1168167,,1152730.0,,Suburb,,Pulau Pinang,,23424901.0,Malaysia,2.0,2.0,1.0,1.0,1,1,0,MY,9.0,neighbourhood,import,,,
40024,118.623938,4.504658,Bahru,1168192,,1154558.0,,Town,,Sabah,MY,23424901.0,Malaysia,176.0,176.0,36.0,1.0,4,4,0,MY,4.0,locality,import,,,
40025,100.533828,5.0148,Bagan Serai,145907,,56014672.0,,LocalAdmin,,Perak,,23424901.0,Malaysia,1.0,62.0,1.0,1.0,1,2,0,MY,9.0,localadmin,import,,,
40026,101.69825,3.148463,Bandar Kuala Lumpur,1174607,,56014567.0,,LocalAdmin,,Kuala Lumpur,,23424901.0,Malaysia,2.0,66857.0,1.0,296.0,1,25,0,MY,9.0,localadmin,import,,,
40027,101.7,2.65,Sungai Pelek New Village,88620,1742667.0,,13829.0,,PPL,,MY,,,,,,,0,0,6,MY,10.0,locality,import,,,
40028,103.423527,4.778139,Kuala Dungun,1175313,,1151797.0,,Town,,Terengganu,,23424901.0,Malaysia,27.0,27.0,5.0,1.0,2,2,0,MY,9.0,locality,import,,,
40029,100.49125,5.33496,Taman Sejahtera,1176641,6819135.0,56016888.0,0.0,Town,PPL,Pulau Pinang,MY,23424901.0,Malaysia,,5.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40030,100.54651,5.37351,Taman Selasih,1176642,6823680.0,56016901.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,
40031,101.836395,2.973898,Pulau Carey,1179865,,22722937.0,,Town,,Selangor,,23424901.0,Malaysia,145.0,145.0,29.0,1.0,3,3,0,MY,9.0,locality,import,,,
40032,101.778641,2.930617,Pulau Ketam,1179867,,22722936.0,,Town,,Selangor,,23424901.0,Malaysia,95.0,95.0,19.0,1.0,3,3,0,MY,9.0,locality,import,,,
40033,101.776336,2.970819,Bandar Baru Bangi,1179868,,22722938.0,,Town,,Selangor,,23424901.0,Malaysia,98.0,98.0,20.0,1.0,3,3,0,MY,9.0,locality,import,,,
40034,103.34167,3.81667,Tanjung,1180414,1888074.0,1154313.0,0.0,Suburb,PPL,Pahang,MY,23424901.0,Malaysia,2.0,2.0,1.0,1.0,1,1,0,MY,10.0,neighbourhood,import,,,
40035,103.758172,1.474923,Bukit Indah,1181031,,56036018.0,,Suburb,,Johor,,23424901.0,Malaysia,3.0,3.0,1.0,1.0,1,1,0,MY,9.0,neighbourhood,import,,,
40036,102.21667,2.85,Kampong Kerinci,1182573,1768303.0,55862672.0,0.0,Suburb,PPL,Kuala Lumpur,MY,23424901.0,Malaysia,196.0,196.0,40.0,1.0,4,4,0,MY,10.0,neighbourhood,import,,,
40037,101.973,2.7481,Taman Ampang Jaya,1182574,7849623.0,55862681.0,0.0,Suburb,PPL,Selangor,MY,23424901.0,Malaysia,31.0,31.0,6.0,1.0,2,2,0,MY,10.0,neighbourhood,import,,,
40038,104.076,2.2118,Kampung Aman,1182971,1767643.0,56015241.0,0.0,Suburb,PPL,Johor,MY,23424901.0,Malaysia,45.0,45.0,9.0,1.0,2,2,0,MY,10.0,neighbourhood,import,,,
40039,101.775,3.167,Taman Tun Abdul Razak,1182990,7688593.0,56036482.0,0.0,Suburb,PPL,Selangor,MY,23424901.0,Malaysia,58.0,58.0,12.0,1.0,2,2,0,MY,10.0,neighbourhood,import,,,
40040,101.1206,4.6098,Taman Ipoh,357536,7473404.0,56037669.0,0.0,Suburb,PPL,Perak,MY,23424901.0,Malaysia,2.0,2.0,1.0,1.0,1,1,0,MY,10.0,neighbourhood,import,,,
40041,102.3647,3.887,Kampung Bau,368470,7793974.0,56118403.0,0.0,Town,PPL,Pahang,MY,23424901.0,Malaysia,,,,,0,0,0,MY,10.0,locality,import,,,
