,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount
0,63862,"80.9015600586,26.8366249238,80.9984624833,26.900229489",uuuu,85632469.0,,39ef2887759abb4e8fe8514e540ffa5d,,a1e8940de99caaac95398f498d8094b1,26.868767,80.940325,85903869.0,uuuu,IN,IN,1458858018.0,26.854933,80.927615,102029557.0,Hasanganj,102029557.0,859/038/69/85903869.geojson,neighbourhood,85672205.0,quattroshapes,,,IN,Unnao district,707
1,63863,"88.3008520508,22.5379271969,88.3248021242,22.5535847719",uuuu,85632469.0,,0b02f8e64129f444ccae1810e2c326e8,,8da9d369c7105ca4f23c246d50e7c39a,22.545345,88.312291,85903871.0,uuuu,IN,IN,1458858018.0,22.546409,88.317862,102030585.0,Hastings,102030585.0,859/038/71/85903871.geojson,neighbourhood,85672219.0,quattroshapes,,,IN,Hastings,6450
2,63866,"72.8139136474,18.9296704856,72.8311157227,18.9400623282",uuuu,85632469.0,,e2191cc87dd59af943ec1101a207322e,,f2856c4af8e498b807c9d750a416d6de,18.935012,72.823744,85903879.0,uuuu,IN,IN,1458858018.0,18.94929,72.831464,102030609.0,Kalba Devi,102030609.0,859/038/79/85903879.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,List of gurdwaras,4149
3,63867,"77.2436564685,28.535068015,77.258605957,28.5461041764",uuuu,85632469.0,,f87fdd1f159dfa1a70b2414e799bb4ba,,8c1234ccbcc363c0c6667a769f444e97,28.539891,77.251306,85903881.0,uuuu,IN,IN,1458858018.0,28.542302,77.256731,102029189.0,Kalkaji,102029189.0,859/038/81/85903881.geojson,neighbourhood,85672123.0,quattroshapes,,,IN,"Kalka Mandir, Delhi",1236
4,63869,"81.8568227186,25.4426006953,81.8706418804,25.4596399725",uuuu,85632469.0,,0490f617fee493d8baf94173b6af24d6,,7389bfd2096770f6a7f44acbabce0cd5,25.451478,81.863601,85903885.0,uuuu,IN,IN,1458858019.0,25.450714,81.861877,102030995.0,Katra,102030995.0,859/038/85/85903885.geojson,neighbourhood,85672205.0,quattroshapes,,,IN,Katra,203
5,63870,"80.3137915039,13.211229731,80.3447778321,13.2472718936",uuuu,85632701.0,,905f163527123448e58ed22bea443f31,,f39e3e4c8bc93df752dd2b691772bd8b,13.230013,80.328988,85903887.0,uuuu,XX,XX,1458857999.0,13.230658,80.331596,-1.0,Kathivakkam,-1.0,859/038/87/85903887.geojson,neighbourhood,85672245.0,quattroshapes,,,XX,Kathivakkam,319
6,63871,"72.8089564786,18.872899211,72.9125268555,18.9708440408",uuuu,85632701.0,,ded78a10cd9de90d1cd012183103deb7,,5ac32b0965e8dde4e046f7cde994f486,18.928333,72.874429,85903889.0,uuuu,IN,IN,1458858018.0,18.944628,72.825002,102030609.0,Khetwadi,102030609.0,859/038/89/85903889.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,Girgaon,747
7,63872,"88.3008520508,22.505094188,88.3320453285,22.5379271969",uuuu,85632469.0,,4594aeeb22de41bfda6affb30eb6caf5,,7dd89e8f13233d6a8895aec6d5b3bec6,22.522222,88.315507,85903891.0,uuuu,IN,IN,1458858018.0,22.526285,88.322871,102030585.0,Khidirpur,102030585.0,859/038/91/85903891.geojson,neighbourhood,85672219.0,quattroshapes,,,IN,Kidderpore,1998
8,63875,"78.2923071289,17.4648487444,78.3342797852,17.5047698635",uuuu,85632469.0,,70bcac0844492f2866f7c807826b622c,,f41789b5a59f2d28471a76fc3be75501,17.487142,78.31272,85903899.0,uuuu,IN,IN,1458858018.0,17.4838,78.313808,102030059.0,Lingampalli,102030059.0,859/038/99/85903899.geojson,neighbourhood,85672141.0,quattroshapes,,,IN,Multi-Modal Transport System (Hyderabad),255
9,63876,"72.7867834473,18.9712339503,72.8293446307,18.9964606547",uuuu,85632469.0,,b8493522200ad5aa6e5c27551ad01f80,,dd6ad9ce976f642bbe46f92a4f7d0fc2,18.983809,72.805744,85903901.0,uuuu,IN,IN,1458858018.0,18.989385,72.818182,102030609.0,Mahalakshmi,102030609.0,859/039/01/85903901.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,Lakshmi,4645
10,63879,"77.6605932617,27.0906989333,78.0664880371,27.2328834835",uuuu,85632469.0,,68036b6393f36156d2f0199acb636eb7,,aa5ec6bdb76a1270f55c91cd758d8c90,27.181561,77.983427,85903907.0,uuuu,IN,IN,1458858019.0,27.180428,78.014847,102031021.0,Maithan,102031021.0,859/039/07/85903907.geojson,neighbourhood,85672205.0,quattroshapes,,,IN,Bhairabi Temple,419
11,63881,"73.8521922295,18.4826333347,73.9287622071,18.5963790203",uuuu,85632469.0,,1997ae82fa4336aaec6889a16a922dc0,,71b38277c8a996eaf4ed82df25939562,18.537384,73.879127,85903913.0,uuuu,IN,IN,1458858018.0,18.528067,73.869873,102028965.0,Mali and Munjeri,102028965.0,859/039/13/85903913.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,Pune Camp,689
12,63883,"72.9968969727,26.2464728972,73.1377465821,26.3895673949",uuuu,85632469.0,,2abc04eb0e6ad49c07abd718d9bbdd96,,1f3df2096cef661eaf172e695394796f,26.325375,73.056868,85903917.0,uuuu,IN,IN,1458857999.0,26.316232,73.049519,0.0,Mandor,-1.0,859/039/17/85903917.geojson,neighbourhood,85672201.0,quattroshapes,,,IN,Mandor,95
13,63884,"72.8311157227,18.9348663896,72.8630883789,18.9646040161",uuuu,85632469.0,,9ec3d05cf2a3831341a681d45056b52d,,77e0f1eb9a22f768f3291602bdd387dc,18.950693,72.848175,85903919.0,uuuu,IN,IN,1458858018.0,18.957504,72.835485,102030609.0,Mandvi,102030609.0,859/039/19/85903919.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,Mandvi,1776
14,63886,"80.0336401368,12.9008752535,80.0591333008,12.9262294864",uuuu,85632469.0,,dc5a162494cac6576da7b4075dc4c9dd,,47bc3240660738fd81e7259f0ce5cd1d,12.913552,80.046387,85903923.0,uuuu,IN,IN,1458858018.0,12.913017,80.048035,102029537.0,Manimangalam,102029537.0,859/039/23/85903923.geojson,neighbourhood,85672245.0,quattroshapes,,,IN,Rajagopala Perumal Temple,138
15,63890,"76.639085143,12.2669407761,76.7137963868,12.3526849333",uuuu,85632469.0,,50c222d7e936081655bc8b7e4d6d273b,,fcfe68fb6180935330a87ae1337f7098,12.303658,76.672797,85903933.0,uuuu,IN,IN,1458858018.0,12.306284,76.655247,102029303.0,Narasimharaja Puram,102029303.0,859/039/33/85903933.geojson,neighbourhood,85672165.0,quattroshapes,,,IN,List of constituencies of the Lok Sabha,622
16,63895,"88.392604443,22.5710465161,88.4581811524,22.6468276875",uuuu,85632469.0,,a5bcdb21f83e315ca0d42d7a7dff8092,,f509b9d41f71f18b1613cf0139428272,22.602356,88.41886,85903943.0,uuuu,IN,IN,1458858018.0,22.596772,88.404058,102030585.0,Patipukur,102030585.0,859/039/43/85903943.geojson,neighbourhood,85672219.0,quattroshapes,,,IN,Baguiati,677
17,63899,"77.1894879635,28.655126416,77.2174072266,28.6778140378",uuuu,85632469.0,,d5f79b7fe4d58d52beb82b36da9d2dea,,b6a04ccfb611f1210d2af0385924d8d2,28.667353,77.201907,85903953.0,uuuu,IN,IN,1458858018.0,28.669283,77.201938,102030425.0,Sabzi Mandi,102030425.0,859/039/53/85903953.geojson,neighbourhood,85672123.0,quattroshapes,,,IN,Sabzi Mandi,49
18,63900,"72.760690918,21.1231833947,72.8466088868,21.2110265944",uuuu,85632469.0,,44ec62b94d02d8168320e3e3d10c75e5,,401780ab512273e8825d130184385fc9,21.161877,72.805739,85903955.0,uuuu,IN,IN,1458858018.0,21.192025,72.820077,102028539.0,Salabatpura,102028539.0,859/039/55/85903955.geojson,neighbourhood,85672249.0,quattroshapes,,,IN,Sosyo,255
19,63902,"80.2431369099,13.0419849327,80.2551269531,13.0580747275",uuuu,85632469.0,,a9324b698d24f4b4376f05b4bd1c7d27,,8e93393d8476bfb4524264830bc32999,13.050858,80.249956,85903959.0,uuuu,IN,IN,1458858018.0,13.052609,80.250813,102029537.0,Santhome,102029537.0,859/039/59/85903959.geojson,neighbourhood,85672245.0,quattroshapes,,,IN,Santhome,573
20,63904,"88.2800591493,22.5577825695,88.3352358905,22.591787122",uuuu,85632469.0,,d3a5bff88892cf7a1566e57825ecea7a,,1089d64c1915d8f89804a818989a1224,22.576884,88.311352,85903963.0,uuuu,IN,IN,1458858018.0,22.578628,88.326466,102030123.0,Sibpur,102030123.0,859/039/63/85903963.geojson,neighbourhood,85672219.0,quattroshapes,,,IN,Shibpur,1290
21,63905,"74.7437231446,12.970471319,74.8241479493,13.0279380607",uuuu,85632469.0,,caa4a0fab3d6ede0bb6532558e842e48,,7dc2c791ffa8e7745fd735d857ad2e6f,12.996352,74.790808,85903967.0,uuuu,IN,IN,1458858018.0,13.000429,74.795491,102029439.0,Suratkal,102029439.0,859/039/67/85903967.geojson,neighbourhood,85672165.0,quattroshapes,,,IN,Surathkal,606
22,63908,"80.2523803711,12.9818095107,80.2801036215,12.9992054113",uuuu,85632469.0,,88ff00ffec39b7b4eb9d572b47cfd2da,,21b750ec9316b83d7558f26b95fbba19,12.98923,80.264585,85903973.0,uuuu,IN,IN,1458858018.0,12.988901,80.263278,102029537.0,Tiruvanmiyur,102029537.0,859/039/73/85903973.geojson,neighbourhood,85672245.0,quattroshapes,,,IN,Thiruvanmiyur,419
23,63912,"80.1654760743,13.0035983521,80.246887207,13.0487460034",uuuu,85632469.0,,1334912980c55e3bdef9f3cf2c620603,,6fd53c3c85149534ad4fa40a3d341ee6,13.028718,80.211652,85903981.0,uuuu,IN,IN,1458858018.0,13.040208,80.234147,102029537.0,Thyagaraya Nagar,102029537.0,859/039/81/85903981.geojson,neighbourhood,85672245.0,quattroshapes,,,IN,T. Nagar,2550
25,63918,"83.2691137696,17.6732783902,83.3495385742,17.745606893",uuuu,85632469.0,,b4d889e7441f04835f5f0172f9a16a1b,,f9cb2f36af26a87ca6cc6d7a192dc1a8,17.710169,83.305613,85903995.0,uuuu,IN,IN,1458858018.0,17.716865,83.316627,102028261.0,Waltair,102028261.0,859/039/95/85903995.geojson,neighbourhood,85672141.0,quattroshapes,,,IN,Visakhapatnam,6614
26,63919,"88.2678930664,22.497130292,88.3465576172,22.5910465161",uuuu,85632469.0,,9e5f5af1b90628508de1765919b7ed0b,,07294320b8fbd0ffa76308f8082fdce4,22.541638,88.308245,85903997.0,uuuu,IN,IN,1458858018.0,22.512654,88.333987,102030585.0,Watganj,102030585.0,859/039/97/85903997.geojson,neighbourhood,85672219.0,quattroshapes,,,IN,Chitpur,1190
28,63924,"72.7716772461,21.2051402319,72.8301293946,21.2558623277",uuuu,85632469.0,,5bbbc848c92271ae75537b42cc7c6484,,54642f0e12b1f36dd7de7e42e1b85f4f,21.229272,72.798701,85904009.0,uuuu,IN,IN,1458858018.0,21.243729,72.817383,102028539.0,Rander,102028539.0,859/040/09/85904009.geojson,neighbourhood,85672249.0,quattroshapes,,,IN,Rander,1356
29,63925,"72.9804174805,19.1659240495,73.0278833008,19.1888954423",uuuu,85632469.0,,aaef1a6cb422dec63d56d1157c9fc765,,9025fc36128a73bdf8e105fde34eedf0,19.176947,73.005455,85904011.0,uuuu,IN,IN,1458858018.0,19.165001,73.022481,102028465.0,Mumbra,102028465.0,859/040/11/85904011.geojson,neighbourhood,85672171.0,quattroshapes,,,IN,Mumbra,1043
30,63927,"78.2538549805,17.4795307135,78.2738549805,17.4995307135",uuuu,85632469.0,,d719c9667650d15f9dd597763480efab,,9fc60690ffdea289d61d623a0d51f799,17.489531,78.263855,85904015.0,uuuu,IN,IN,1458857999.0,17.489531,78.263855,0.0,Ramachandrapuram,-1.0,859/040/15/85904015.geojson,neighbourhood,85672141.0,quattroshapes,,,IN,Ramachandrapuram,49
31,63928,"78.3032934571,17.3694737545,78.3411462402,17.4052002392",uuuu,85632469.0,,da10de9c589b4e9fbb1c9cf7c2cb85f7,,51c55d768932cf0c66356044f26a81dc,17.387259,78.321568,85904017.0,uuuu,IN,IN,1458858018.0,17.385706,78.326965,102030059.0,Gandipet,102030059.0,859/040/17/85904017.geojson,neighbourhood,85672141.0,quattroshapes,,,IN,Osman Sagar,289
