,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
3537,039fdca6-8f76-11e1-848f-cfd5bf3ef515,,101792505.0,,,,678864.0,Q12102305,,,,,,871670.0,,2.0,,,,,2354
3538,039fcebe-8f76-11e1-848f-cfd5bf3ef515,,101792509.0,,,,679011.0,Q14946230,,,,,,871570.0,,1027955.0,,,,,2354
3539,,,101792513.0,,,,671110.0,Q12140056,,,,,,,,1027580.0,,,,,2354
3540,,,85670403.0,,,,3564120.0,Q115444,,,,,Cienfuegos Province,2345112.0,,235574.0,,,,,246
3541,03a4eaac-8f76-11e1-848f-cfd5bf3ef515,,101792515.0,,,,665578.0,Q2716789,,,,,,881447.0,,181006.0,,,,,2354
3542,039e422e-8f76-11e1-848f-cfd5bf3ef515,,101792519.0,,,,683178.0,Q2483604,,,,,,868519.0,,1028161.0,,,,,2354
3543,,,101792525.0,,,,685099.0,Q12081875,,,,,,867135.0,,409362.0,,,,,2354
3544,,,85670045.0,,,,2260487.0,Q780884,,,,,Cuvette Department,2344968.0,,1142809.0,,,,,132
3545,,51584291246547476481,85632401.0,Kuwait,,,285570.0,Q817,,en.kuwait,kuwait,,Kuwait,23424870.0,,1190013.0,,,,,9995
3546,,,85670203.0,,,,3666313.0,Q13990,,,,,Valle del Cauca Department,2345074.0,,235572.0,,,,,1757
3547,1162aca6-8f76-11e1-848f-cfd5bf3ef515,,101788331.0,,,,3054543.0,Q214948,,,,,Cegléd,804462.0,,1042920.0,,,,,1408
3548,,,85672001.0,,,,1642907.0,Q15222082,,,,,Greater Jakarta,2345713.0,,889753.0,,,,,738
3549,06b41128-8f76-11e1-848f-cfd5bf3ef515,,85669847.0,,,,2035607.0,Q41079,,,,,Inner Mongolia,12578009.0,n81018477,1028384.0,,,,,8179
3550,,,85670967.0,,,,3659718.0,Q321729,,,,,Carchi Province,2345206.0,,423738.0,,,,,301
3551,,,85672601.0,,,,3488711.0,Q1473663,,,,,Saint Catherine Parish,2345918.0,,423784.0,,,,,1039
3552,,,85672801.0,,,,2112669.0,Q83273,,,,,Ibaraki Prefecture,2345863.0,,905757.0,,,,,853
3553,,,85673041.0,,,,1831172.0,Q142258,,,,,Kampong Cham Province,2344928.0,,1285060.0,,,,,624
3554,,,85671101.0,,,,448500.0,Q873012,,,,,Gash-Barka Region,24549681.0,,483503.0,,,,,343
3555,,,85673607.0,,,,2593778.0,Q26161,,,,,Nuqat al Khams,2346134.0,,894918.0,,,,,120
3556,,,85673003.0,,,,1527297.0,Q109838,,,,,Talas Region,20070192.0,,236958.0,,,,,384
3557,,,101788481.0,,,,685037.0,Q12082270,,,,,,867179.0,,409382.0,,,,,2354
3558,,,101788521.0,,,,682743.0,Q12108525,,,,,,868834.0,,409774.0,,,,,2354
3559,,,85674201.0,,,,862973.0,Q2088585,,,,,Rosoman Municipality,24550801.0,,1103584.0,,,,,157
3560,,,85671901.0,,,,3607251.0,Q866886,,,,,La Paz Department (Honduras),2345634.0,,388549.0,,,,,102
3561,,,85674605.0,,,,1321702.0,Q140646,,,,,Kachin State,2344813.0,,219513.0,,,,,1724
