,wk_page_id,wk_name,wiki_id
0,31153114,Manole Pass,Q11775899
1,6211465,Sammichele di Bari,Q51849
2,6081294,Krichim,Q406822
3,5947737,Roccabascerana,Q55086
4,1491369,Bratsigovo,Q405842
5,6211448,Rutigliano,Q51847
6,4948045,Kriva Palanka Municipality,Q1422453
7,10699548,Krumovo,Q2654185
8,48267045,Kladnitsa Peak,
9,38103637,Rogosh Glacier,Q7359435
10,13120531,FC Benkovski Byala,Q5424849
11,826325,Vasil Levski,Q318461
12,381596,Serbo-Croatian kinship,Q7452985
13,6211318,Cassano delle Murge,Q51820
14,5947696,Ospedaletto d'Alpinolo,Q55074
15,47900462,Stefan Karadzhovo,Q1086463
16,6211339,Cellamare,Q496456
17,6211310,Casamassima,Q51819
18,589053,Vidin Province,Q2012772
19,6211394,Noicàttaro,Q51837
20,7531822,Rakitovo,Q405554
21,2461624,Momin Prohod,Q406022
22,2404847,Velingrad,Q405114
23,30320980,Aksakovo Municipality,Q2715403
24,9440587,Bogdan Dochev,Q833282
25,25694306,Anevo Fortress,Q3396507
26,5947747,San Martino Valle Caudina,Q55092
27,15786873,Tsrancha,Q2463059
28,30808476,Silistra Municipality,Q2219334
29,21078326,Koprinka Reservoir,Q6395746
30,11245675,Turi,Q252507
31,4511228,"Kiten, Burgas Province",Q1993655
32,2922628,List of country names in various languages (J–P),Q3643877
33,5946825,Casalbore,Q55017
34,9687097,"Kovachevo, Stara Zagora Province",Q2460651
35,5947723,Pietrastornina,Q55080
36,18785311,Glavinitsa,Q405481
37,1485797,"Belovo, Bulgaria",Q407705
38,1463600,Trud (Russian newspaper),Q1195809
39,35575013,"Bistrica, Macedonia",Q804083
40,4452359,Svoboda,Q296469
41,6211301,Capurso,Q51818
42,28979519,Novo Selo (Sokolac),Q3129116
43,30871305,Clement of Ohrid,Q158504
44,11483771,Vladaya,Q2653459
45,30652910,Strazhitsa Municipality,Q959929
46,1491535,Byala Slatina,Q405228
47,44798819,"Bolyartsi, Kardzhali Province",Q1082120
48,27137800,Raduil Point,Q16968150
49,6770385,Pannarano,Q55943
0,6754247,Ponzano Romano,Q243182
1,5948487,Scerni,Q51294
2,6211288,Bitetto,Q51815
3,6754265,Rignano Flaminio,Q243195
4,935026,Gissi,Q51238
5,6754348,Roviano,Q243271
6,6754180,Morlupo,Q243022
7,5948538,Fara San Martino,Q51219
8,6754353,Sacrofano,Q243311
9,6770346,Montefalcone di Val Fortore,Q55923
10,6753793,Allumiere,Q241680
11,6783016,Montenero di Bisaccia,Q277822
12,6257128,Vico del Gargano,Q51966
13,6257068,Rodi Garganico,Q51949
14,6753848,Campagnano di Roma,Q241911
15,6754114,Mazzano Romano,Q242935
16,6753925,Castelnuovo di Porto,Q242126
17,3011576,Arsoli,Q241758
