,Unnamed: 0,Unnamed: 0.1,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country,wk:page,wordcount,wd:id,wof:id,wk_page_id
0,0,30497,"7.50091552735,51.4832734793,7.54592563781,51.5087424588",uuuu,85633111.0,,ae7326c26be4831775bac9759ad5c693,,962a2bc9f13f5ce06f0bfaf062a92d59,51.497029,7.528678,85794969.0,uuuu,DE,DE,1458857123.0,51.49433,7.524877,101748719.0,Bruch,101748719.0,857/949/69/85794969.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Bruch,128,Q12177455,85794969.0,1804035
1,1,30498,"6.60651611328,51.2158078509,6.67488206363,51.2426875543",uuuu,85633111.0,,21374951a1596afe2758cf66c361b2e3,,3d0fd53fbf89555efae978e7b419e6fb,51.231611,6.634173,85794973.0,uuuu,DE,DE,1458857132.0,51.228053,6.628219,0.0,Brücke,-1.0,857/949/73/85794973.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Die Brücke (institute),750,,85794973.0,
2,3,30500,"7.30812444044,51.5565818652,7.36976196926,51.5921899007",uuuu,85633111.0,,83f727f692d0c73b671c94bbe3a193f5,,3f9e28f45acf7dd31f8746dd9a4ec404,51.573153,7.338157,85794983.0,uuuu,DE,DE,1458857116.0,51.572654,7.335363,0.0,Brüninghausen,-1.0,857/949/83/85794983.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,List of EHV-substations in Germany,16,,85794983.0,
3,4,30501,"8.34235595703,48.9467771813,8.38978843481,48.994635977",uuuu,85633111.0,,9e5a95d5c8f2a272d39e496d7222fc57,,00c7894c027b849f8c5619fb34dce04f,48.969138,8.368088,85794987.0,uuuu,DE,DE,1458857122.0,48.975101,8.373849,0.0,Bulach,-1.0,857/949/87/85794987.geojson,neighbourhood,85682567.0,quattroshapes,,,DE,Bülach,837,,85794987.0,
4,5,30502,"7.06471596041,51.4936137596,7.10939197739,51.5395020197",uuuu,85633111.0,,784c8c338fe92cea4128584e8522842d,,634e8b3a4e519171ba86e480fd782f46,51.516518,7.084896,85794991.0,uuuu,DE,DE,1458857123.0,51.513651,7.090409,101748723.0,Bulmke,101748723.0,857/949/91/85794991.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Josef Franke,329,,85794991.0,
5,6,30503,"8.68842529297,53.1304085485,8.73589111328,53.1691477626",uuuu,85633111.0,,4acd820142321ab1666eec10cb1ef334,,3e7b84faaca92cd001ba1b5d2c328087,53.148803,8.711955,85794997.0,uuuu,DE,DE,1458857124.0,53.15041,8.70681,101748829.0,Burg-Grambke,101748829.0,857/949/97/85794997.geojson,neighbourhood,85682561.0,quattroshapes,,,DE,1. FC Burg,175,,85794997.0,
6,7,30504,"8.72138427735,53.1606496751,8.76335693359,53.2078065512",uuuu,85633111.0,,d2ab497a6d42bd9b727950556225fb19,,3914962ad27a6e9a475a151d0c3f3ba6,53.184289,8.742265,85794999.0,uuuu,DE,DE,1458857124.0,53.172828,8.732026,101875803.0,Burgdamm,101875803.0,857/949/99/85794999.geojson,neighbourhood,85682555.0,quattroshapes,,,DE,List of schools in Germany,3387,,85794999.0,
7,8,30505,"6.97159286398,51.0342622155,7.01477050782,51.0534807229",uuuu,85633111.0,,e5eebdf6620be63ba6cae37d5eca2498,,48324c10e960f461689e1663bc3c31ff,51.046421,6.990921,85795003.0,uuuu,DE,DE,1458857122.0,51.043063,6.982253,101748641.0,Bürrig,101748641.0,857/950/03/85795003.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Leverkusen-Bürrig water tower,89,,85795003.0,
8,9,30507,"7.22175048828,51.2879934503,7.24822998047,51.3182964257",uuuu,85633111.0,,0261f94358110321478fe131dbc5539a,,cbe686a70b4addbcf0703079cda537b3,51.302639,7.235529,85795013.0,uuuu,DE,DE,1458857116.0,51.306301,7.241843,0.0,Busch,-1.0,857/950/13/85795013.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Busch,115,Q440539,85795013.0,2059036
9,11,30509,"6.96748244357,51.5414588733,7.03850341797,51.5887763677",uuuu,85633111.0,,5db000c064a9f99b5a068a7d8a1a417b,,b3488313cc80f52b2c3b9fb23790b977,51.565794,7.004722,85795021.0,uuuu,DE,DE,1458857124.0,51.561706,6.986348,101748747.0,Butendorf,101748747.0,857/950/21/85795021.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Gladbeck,1638,Q3905,85795021.0,432713
10,12,30510,"7.1689000556,51.2647798189,7.21424322731,51.2976881619",uuuu,85633111.0,,098b3906392448551e3f88bfba4a70c6,,ec2dc7ed21dfb2f3bc160b19975af879,51.283804,7.192835,85795025.0,uuuu,DE,DE,1458857123.0,51.271429,7.19462,101748657.0,Carnap,101748657.0,857/950/25/85795025.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Rudolf Carnap,3186,,85795025.0,
11,13,30511,"6.88117431641,51.0033853706,6.91216064453,51.0417110463",uuuu,85633111.0,,f8323af2f0eff08a932f726e1badff7f,,b5859304cc55edd71680f711b0551a6e,51.021747,6.897182,85795031.0,uuuu,DE,DE,1458857131.0,51.025539,6.90354,101752771.0,Chorweiler,101752771.0,857/950/31/85795031.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Chorweiler,184,Q446864,85795031.0,26615794
12,14,30512,"7.48073656818,51.4696723461,7.52198485663,51.5039442789",uuuu,85633111.0,,82cf51d0682cccab2904957fe4a6fe2f,,823b3d1699a32b8032de9f0b5481a0bc,51.488084,7.503333,85795033.0,uuuu,DE,DE,1458857123.0,51.489246,7.500862,101748719.0,Clarenberg,101748719.0,857/950/33/85795033.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Dortmund Stadtbahn,367,,85795033.0,
13,15,30513,"7.12994052023,51.5360852811,7.18062755387,51.5651728096",uuuu,85633111.0,,db32f164f79cf32edad64caccea39b3e,,c5e65450c5ddafafb1188a7f6333f62d,51.550219,7.151846,85795037.0,uuuu,DE,DE,1458857124.0,51.555316,7.143121,101748711.0,Crange,101748711.0,857/950/37/85795037.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,"Herne, North Rhine-Westphalia",1299,,85795037.0,
14,17,30515,"8.37707519531,48.9539905923,8.43417185997,49.017594736",uuuu,85633111.0,,b6c4e3a32c55c75e5f25b0b8fbe201bb,,e49844065f74c825f00271524a0bebc0,48.983826,8.404692,85795045.0,uuuu,DE,DE,1458857122.0,48.999606,8.403251,101748527.0,Dammerstock,101748527.0,857/950/45/85795045.geojson,neighbourhood,85682567.0,quattroshapes,,,DE,Alb Valley Railway,2944,,85795045.0,
15,19,30517,"7.68484074093,51.9496135806,7.69589750938,51.9594997551",uuuu,85633111.0,,a13e994596a3dcaa47124b27496481a3,,7096019da42cc5b7c6fe86428776aff6,51.955028,7.689133,85795055.0,uuuu,DE,DE,1458857116.0,51.953621,7.689032,0.0,Delstrup,-1.0,857/950/55/85795055.geojson,neighbourhood,85682513.0,quattroshapes,,,DE,Gremmendorf,654,Q896712,85795055.0,36707158
