,wk_page_id,wk_name,wiki_id
0,6555530,Mombasiglio,Q20181
1,6733564,Montemaggiore al Metauro,Q207430
2,290151,Barolo,Q808584
3,6559666,Carbonara Scrivia,Q17301
4,6558261,Monale,Q17825
5,6556544,San Damiano Macra,Q20468
6,6555265,Gaiola,Q20067
7,6733764,Sassofeltrio,Q207625
8,6554937,Cavallerleone,Q19925
9,6733681,Peglio,Q963916
10,6719844,Monchio delle Corti,Q100843
11,6556463,Sale delle Langhe,Q20435
12,6733509,Montecopiolo,Q207395
13,6720515,Prignano sulla Secchia,Q100088
14,6717478,Sant'Urbano,Q34741
15,6557322,Vottignasco,Q20620
16,6559435,Belforte Monferrato,Q17268
17,6556960,Valgrana,Q20524
18,6554719,Camerana,Q18392
19,2781038,Priero,Q20363
20,6719964,Tornolo,Q100955
21,6557836,Cerro Tanaro,Q17791
22,6555644,Montanera,Q20199
23,6556167,Pradleves,Q20359
24,6719855,Neviano degli Arduini,Q100850
25,6555252,Frabosa Sottana,Q20059
26,6561247,Tassarolo,Q17682
27,6720183,Ligonchio,Q111207
28,6555620,Montaldo di Mondovì,Q20197
29,1146100,Bagnolo di Po,Q34547
30,6557496,Calamandrana,Q17759
31,23689093,Bruno,Q224426
32,3200450,Novello,Q1905283
33,6569766,Cipressa,Q268558
34,6557778,Cellarengo,Q17786
35,6719875,Pellegrino Parmense,Q100894
36,6720221,Ramiseto,Q111228
37,6555165,Diano d'Alba,Q20017
38,6557159,Vinadio,Q20602
0,6559869,Castellar Guidobono,Q17326
1,6560168,Francavilla Bisio,Q17357
2,6560596,Montechiaro d'Acqui,Q17402
3,6560717,Ottiglio,Q17628
4,6480512,Perosa Canavese,Q9552
5,6707918,San Cipriano Po,Q40929
6,5682491,San Zenone al Po,Q39729
7,6479569,Meugliano,Q9467
8,6715564,Ticengo,Q42277
9,6479466,Marentino,Q9451
10,6715409,Pozzaglio ed Uniti,Q42226
11,6707704,Ponte Nizza,Q41078
12,6262,Ceres,Q1055257
13,1050990,Castel Gabbiano,Q42821
14,6706525,Albonese,Q39868
15,6715159,Cappella Cantone,Q42714
16,6715252,Cumignano sul Naviglio,Q42680
17,6520246,Quassolo,Q10212
18,6708326,Torricella Verzate,Q39736
19,6559612,Camagna Monferrato,Q17294
20,7756711,Isola Bella,Q531258
21,6826311,Meleti,Q43092
22,6479453,Maglione,Q9450
23,6478854,Fenestrelle,Q9352
24,6708263,Torre d'Arese,Q40945
25,6560045,Coniolo,Q17347
26,6715269,Drizzona,Q42687
27,6706681,Borgo Priolo,Q39796
28,6478246,Castagneto Po,Q9216
29,6520869,Scarmagno,Q10299
30,6826450,Terranova dei Passerini,Q42318
31,6707849,Romagnese,Q40965
32,6479045,Gravere,Q9392
33,6378539,Alice Superiore,Q8983
34,6715386,Pessina Cremonese,Q42708
35,6479306,Levone,Q9425
36,6378510,Ala di Stura,Q8976
37,6715286,Gadesco-Pieve Delmona,Q43001
38,6714968,Trovo,Q39670
39,6715495,San Martino del Lago,Q42757
40,6826475,Villanova del Sillaro,Q42251
41,6714974,Val di Nizza,Q40916
42,6706728,Bosnasco,Q40753
0,6522257,Formigliana,Q25071
1,6522085,Grancona,Q46206
2,6536512,Terdobbiate,Q22635
3,6825240,Piatto,Q18139
4,6703630,Morimondo,Q42241
5,6522680,Pertengo,Q25170
6,46297400,Brusson,Q356211
7,6154396,Challand-Saint-Victor,Q34904
8,6717478,Sant'Urbano,Q34741
9,6479823,Novalesa,Q9514
10,6534447,San Germano dei Berici,Q47234
11,6825282,Rosazza,Q18155
12,6521767,Albano Vercellese,Q24850
13,6523908,Sillavengo,Q22626
14,6522672,Oldenico,Q25165
15,6520945,Alonte,Q46278
16,6521802,Crespadoro,Q46300
17,6523519,Comignago,Q22189
18,6479725,Moriondo Torinese,Q9497
19,6520352,Rocca Canavese,Q10234
20,3273062,Roure,Q1018207
21,5921154,Boschi Sant'Anna,Q46250
